time,expn,gene,gt,light,rep
39,1.234788213,PRR5,cca1lhyrve468,LL,rep2
42,0.795595185,PRR5,cca1lhyrve468,LL,rep2
45,0.853382777,PRR5,cca1lhyrve468,LL,rep2
48,1.023568266,PRR5,cca1lhyrve468,LL,rep2
51,0.798899125,PRR5,cca1lhyrve468,LL,rep2
54,0.949236406,PRR5,cca1lhyrve468,LL,rep2
57,1.016864891,PRR5,cca1lhyrve468,LL,rep2
24,0.543446348,PRR5,cca1lhy,LL,rep2
27,1.725172308,PRR5,cca1lhy,LL,rep2
30,2.18277759,PRR5,cca1lhy,LL,rep2
33,1.57783455,PRR5,cca1lhy,LL,rep2
36,0.792661777,PRR5,cca1lhy,LL,rep2
39,0.675229783,PRR5,cca1lhy,LL,rep2
42,0.699037985,PRR5,cca1lhy,LL,rep2
45,1.35455822,PRR5,cca1lhy,LL,rep2
48,2.083697729,PRR5,cca1lhy,LL,rep2
51,1.359333644,PRR5,cca1lhy,LL,rep2
54,1.328001323,PRR5,cca1lhy,LL,rep2
57,0.939294316,PRR5,cca1lhy,LL,rep2
24,0.069717103,PRR7,Col,LL,rep1
27,0.494411627,PRR7,Col,LL,rep1
30,1.215563935,PRR7,Col,LL,rep1
33,2.411319475,PRR7,Col,LL,rep1
36,0.680281028,PRR7,Col,LL,rep1
39,0.604882459,PRR7,Col,LL,rep1
42,0.168109826,PRR7,Col,LL,rep1
45,0.135912966,PRR7,Col,LL,rep1
48,0.123523413,PRR7,Col,LL,rep1
51,1.823161451,PRR7,Col,LL,rep1
54,1.834710398,PRR7,Col,LL,rep1
57,1.496666793,PRR7,Col,LL,rep1
24,0.210762043,PRR7,rve468,LL,rep1
27,0.241835631,PRR7,rve468,LL,rep1
30,0.224978274,PRR7,rve468,LL,rep1
33,0.918307028,PRR7,rve468,LL,rep1
36,1.16175268,PRR7,rve468,LL,rep1
39,0.470671492,PRR7,rve468,LL,rep1
42,0.913963321,PRR7,rve468,LL,rep1
45,0.846738209,PRR7,rve468,LL,rep1
48,0.445248744,PRR7,rve468,LL,rep1
51,0.365812754,PRR7,rve468,LL,rep1
54,0.676922075,PRR7,rve468,LL,rep1
57,0.399650075,PRR7,rve468,LL,rep1
24,0.06825593,PRR7,cca1lhyrve468,LL,rep1
27,0.302986803,PRR7,cca1lhyrve468,LL,rep1
30,0.408546865,PRR7,cca1lhyrve468,LL,rep1
33,1.478921124,PRR7,cca1lhyrve468,LL,rep1
36,0.748711851,PRR7,cca1lhyrve468,LL,rep1
39,0.903488704,PRR7,cca1lhyrve468,LL,rep1
42,0.373440347,PRR7,cca1lhyrve468,LL,rep1
45,0.218098593,PRR7,cca1lhyrve468,LL,rep1
48,0.380341015,PRR7,cca1lhyrve468,LL,rep1
51,0.8937623,PRR7,cca1lhyrve468,LL,rep1
54,1.232557513,PRR7,cca1lhyrve468,LL,rep1
57,1.244566252,PRR7,cca1lhyrve468,LL,rep1
24,1.083898184,PRR7,cca1lhy,LL,rep1
27,1.938222462,PRR7,cca1lhy,LL,rep1
30,1.787487274,PRR7,cca1lhy,LL,rep1
33,1.735939597,PRR7,cca1lhy,LL,rep1
36,0.61024985,PRR7,cca1lhy,LL,rep1
39,0.350834274,PRR7,cca1lhy,LL,rep1
42,0.820441835,PRR7,cca1lhy,LL,rep1
45,2.254684145,PRR7,cca1lhy,LL,rep1
48,1.387717507,PRR7,cca1lhy,LL,rep1
51,1.246665072,PRR7,cca1lhy,LL,rep1
54,0.843529523,PRR7,cca1lhy,LL,rep1
57,0.62455091,PRR7,cca1lhy,LL,rep1
24,0.105718077,PRR7,Col,LL,rep2
27,0.734537828,PRR7,Col,LL,rep2
30,1.625602283,PRR7,Col,LL,rep2
33,2.028708695,PRR7,Col,LL,rep2
36,1.451265483,PRR7,Col,LL,rep2
39,0.7540423,PRR7,Col,LL,rep2
42,0.301511796,PRR7,Col,LL,rep2
45,0.208369064,PRR7,Col,LL,rep2
48,0.304680823,PRR7,Col,LL,rep2
51,1.027584685,PRR7,Col,LL,rep2
54,1.967673512,PRR7,Col,LL,rep2
57,2.093123827,PRR7,Col,LL,rep2
24,0.382771903,PRR7,rve468,LL,rep2
27,0.332058274,PRR7,rve468,LL,rep2
30,1.038649012,PRR7,rve468,LL,rep2
33,1.205381823,PRR7,rve468,LL,rep2
36,2.267550439,PRR7,rve468,LL,rep2
39,2.352785736,PRR7,rve468,LL,rep2
42,1.782737605,PRR7,rve468,LL,rep2
45,1.952997977,PRR7,rve468,LL,rep2
48,0.867249236,PRR7,rve468,LL,rep2
51,0.418001314,PRR7,rve468,LL,rep2
54,0.385495391,PRR7,rve468,LL,rep2
57,0.539064549,PRR7,rve468,LL,rep2
24,0.097196902,PRR7,cca1lhyrve468,LL,rep2
27,0.675658254,PRR7,cca1lhyrve468,LL,rep2
30,0.412001212,PRR7,cca1lhyrve468,LL,rep2
33,0.75083496,PRR7,cca1lhyrve468,LL,rep2
36,0.297286687,PRR7,cca1lhyrve468,LL,rep2
39,1.32182812,PRR7,cca1lhyrve468,LL,rep2
42,0.258917962,PRR7,cca1lhyrve468,LL,rep2
45,0.439674696,PRR7,cca1lhyrve468,LL,rep2
48,0.57612715,PRR7,cca1lhyrve468,LL,rep2
51,0.717206411,PRR7,cca1lhyrve468,LL,rep2
54,1.204192686,PRR7,cca1lhyrve468,LL,rep2
57,0.674906935,PRR7,cca1lhyrve468,LL,rep2
24,0.625514104,PRR7,cca1lhy,LL,rep2
27,1.740725929,PRR7,cca1lhy,LL,rep2
30,1.401402567,PRR7,cca1lhy,LL,rep2
33,1.481866249,PRR7,cca1lhy,LL,rep2
36,0.814977563,PRR7,cca1lhy,LL,rep2
39,0.672885427,PRR7,cca1lhy,LL,rep2
42,0.748602867,PRR7,cca1lhy,LL,rep2
45,1.523241157,PRR7,cca1lhy,LL,rep2
48,1.468688886,PRR7,cca1lhy,LL,rep2
51,1.223783393,PRR7,cca1lhy,LL,rep2
54,1.095224706,PRR7,cca1lhy,LL,rep2
